Neighborhood,Latitude,Longitude
Shahpur Jat,28.67557000000005,77.16190000000006
"Shakti Nagar, Delhi",28.714230000000043,77.15744000000007
Shalimar Bagh (Vidhan Sabha constituency),28.566400000000044,77.14033000000006
Shankar Vihar,28.577560000000062,77.16811000000007
"Shanti Niketan, Delhi",28.647520000000043,77.27082000000007
"Shastri Nagar, Delhi",28.670060000000035,77.25175000000007
Shastri Park,28.664450000000045,77.05740000000003
Shiv Ram Park,28.652640000000076,77.12143000000003
Shivaji Place,28.56257000000005,77.21520000000004
South Extension,28.645610000000033,77.16682000000003
South Patel Nagar,28.565680000000043,77.25733000000008
Sriniwaspuri,28.67372000000006,76.96733000000006
Tikri Kalan,28.64089000000007,77.08922000000007
Tilak Nagar (Delhi),28.666000000000054,77.21520000000004
Tis Hazari,28.648881338058917,77.23869195598824
Urdu Bazaar,28.531510000000026,77.15020000000004
Vasant Kunj,28.565210000000036,77.16115000000008
"Vasant Vihar, Delhi",28.60017000000005,77.31666000000007
Vasundhara Enclave,28.644640000000038,77.07511000000005
Vikaspuri,26.931760000000054,75.70300000000003
Vikram Vihar,28.646420000000035,77.30615000000006
Vivek Vihar subdivision,28.647830000000056,77.16449000000006
West Patel Nagar,28.58288950364222,77.30072841638903
Yamuna Pushta,28.70061000000004,77.27202000000005
Yamuna Vihar,28.700939,77.272102
